BCW_ID,Ratio (15N/14N),,
BCW_201894,2.8,2.8,BCW_201894
BCW_201868,2.3,2.3,BCW_201868
BCW_201880,2.2,2.2,BCW_201880
BCW_201936,2.2,2.2,BCW_201936
BCW_201163,1.7,1.7,BCW_201163
BCW_201895,1.7,1.7,BCW_201895
BCW_201870,1.7,1.7,BCW_201870
BCW_201856,1.6,1.6,BCW_201856
BCW_201173,1.5,1.5,BCW_201173
BCW_200726,1.5,1.5,BCW_200726
BCW_200328,1.5,1.5,BCW_200328
BCW_200737,1.5,1.5,BCW_200737
BCW_201852,1.5,1.5,BCW_201852
BCW_200444,1.5,1.5,BCW_200444
BCW_201809,1.5,1.5,BCW_201809
BCW_201813,1.5,1.5,BCW_201813
BCW_201889,1.5,1.5,BCW_201889
BCW_200902,1.5,1.5,BCW_200902
BCW_201878,1.4,1.4,BCW_201878
BCW_201085,1.4,1.4,BCW_201085
BCW_201933,1.4,1.4,BCW_201933
BCW_201917,1.4,1.4,BCW_201917
BCW_201885,1.4,1.4,BCW_201885
BCW_200926,1.4,1.4,BCW_200926
BCW_201818,1.4,1.4,BCW_201818
BCW_201867,1.4,1.4,BCW_201867
BCW_200443,1.4,1.4,BCW_200443
BCW_201831,1.4,1.4,BCW_201831
BCW_201879,1.4,1.4,BCW_201879
BCW_201882,1.4,1.4,BCW_201882
BCW_200727,1.4,1.4,BCW_200727
BCW_201236,1.4,1.4,BCW_201236
BCW_200566,1.4,1.4,BCW_200566
BCW_201866,1.4,1.4,BCW_201866
BCW_201169,1.4,1.4,BCW_201169
BCW_201876,1.3,1.3,BCW_201876
BCW_201883,1.3,1.3,BCW_201883
BCW_201187,1.3,1.3,BCW_201187
BCW_201884,1.3,1.3,BCW_201884
BCW_201073,1.3,1.3,BCW_201073
BCW_201152,1.3,1.3,BCW_201152
BCW_201303,1.3,1.3,BCW_201303
BCW_201874,1.3,1.3,BCW_201874
BCW_200808,1.3,1.3,BCW_200808
BCW_201083,1.3,1.3,BCW_201083
BCW_200596,1.3,1.3,BCW_200596
BCW_201166,1.3,1.3,BCW_201166
BCW_201153,1.3,1.3,BCW_201153
BCW_201834,1.3,1.3,BCW_201834
BCW_200435,1.3,1.3,BCW_200435
BCW_201888,1.3,1.3,BCW_201888
BCW_200279,1.3,1.3,BCW_200279
BCW_201815,1.3,1.3,BCW_201815
BCW_201859,1.3,1.3,BCW_201859
BCW_201858,1.3,1.3,BCW_201858
BCW_200270,1.3,1.3,BCW_200270
BCW_200289,1.3,1.3,BCW_200289
BCW_201910,1.3,1.3,BCW_201910
BCW_201045,1.3,1.3,BCW_201045
BCW_200661,1.3,1.3,BCW_200661
BCW_201887,1.3,1.3,BCW_201887
BCW_200556,1.3,1.3,BCW_200556
BCW_201167,1.3,1.3,BCW_201167
BCW_201851,1.3,1.3,BCW_201851
BCW_200621,1.3,1.3,BCW_200621
BCW_201873,1.3,1.3,BCW_201873
BCW_201849,1.3,1.3,BCW_201849
BCW_201860,1.3,1.3,BCW_201860
BCW_200810,1.3,1.3,BCW_200810
BCW_200488,1.3,1.3,BCW_200488
BCW_201840,1.3,1.3,BCW_201840
BCW_200533,1.3,1.3,BCW_200533
BCW_201245,1.2,1.2,BCW_201245
BCW_201025,1.2,1.2,BCW_201025
BCW_201260,1.2,1.2,BCW_201260
BCW_201162,1.2,1.2,BCW_201162
BCW_201185,1.2,1.2,BCW_201185
BCW_201259,1.2,1.2,BCW_201259
BCW_201877,1.2,1.2,BCW_201877
BCW_201829,1.2,1.2,BCW_201829
BCW_201824,1.2,1.2,BCW_201824
BCW_201832,1.2,1.2,BCW_201832
BCW_201844,1.2,1.2,BCW_201844
BCW_201836,1.2,1.2,BCW_201836
BCW_201926,1.2,1.2,BCW_201926
BCW_200487,1.2,1.2,BCW_200487
BCW_201847,1.2,1.2,BCW_201847
BCW_200885,1.2,1.2,BCW_200885
BCW_200620,1.2,1.2,BCW_200620
BCW_201939,1.2,1.2,BCW_201939
BCW_200570,1.2,1.2,BCW_200570
BCW_201808,1.2,1.2,BCW_201808
BCW_200882,1.2,1.2,BCW_200882
BCW_201915,1.2,1.2,BCW_201915
BCW_201835,1.2,1.2,BCW_201835
BCW_201825,1.2,1.2,BCW_201825
BCW_201810,1.2,1.2,BCW_201810
BCW_200665,1.2,1.2,BCW_200665
BCW_200938,1.2,1.2,BCW_200938
BCW_201814,1.2,1.2,BCW_201814
BCW_201850,1.2,1.2,BCW_201850
BCW_201875,1.2,1.2,BCW_201875
BCW_200290,1.2,1.2,BCW_200290
BCW_201901,1.2,1.2,BCW_201901
BCW_200473,1.2,1.2,BCW_200473
BCW_200883,1.2,1.2,BCW_200883
BCW_201246,1.2,1.2,BCW_201246
BCW_201863,1.2,1.2,BCW_201863
BCW_201909,1.2,1.2,BCW_201909
BCW_201990,1.2,1.2,BCW_201990
BCW_201659,1.2,1.2,BCW_201659
BCW_201886,1.2,1.2,BCW_201886
BCW_200939,1.2,1.2,BCW_200939
BCW_201176,1.2,1.2,BCW_201176
BCW_200955,1.2,1.2,BCW_200955
BCW_201897,1.2,1.2,BCW_201897
BCW_200561,1.2,1.2,BCW_200561
BCW_200904,1.2,1.2,BCW_200904
BCW_201084,1.2,1.2,BCW_201084
BCW_201819,1.2,1.2,BCW_201819
BCW_200725,1.2,1.2,BCW_200725
BCW_201862,1.2,1.2,BCW_201862
BCW_201247,1.2,1.2,BCW_201247
BCW_201098,1.2,1.2,BCW_201098
BCW_200498,1.2,1.2,BCW_200498
BCW_200539,1.2,1.2,BCW_200539
BCW_201916,1.2,1.2,BCW_201916
BCW_200662,1.2,1.2,BCW_200662
BCW_200723,1.2,1.2,BCW_200723
BCW_201090,1.2,1.2,BCW_201090
BCW_200715,1.2,1.2,BCW_200715
BCW_201830,1.2,1.2,BCW_201830
BCW_200517,1.2,1.2,BCW_200517
BCW_201861,1.2,1.2,BCW_201861
BCW_201823,1.2,1.2,BCW_201823
BCW_201014,1.2,1.2,BCW_201014
BCW_201881,1.2,1.2,BCW_201881
BCW_200722,1.2,1.2,BCW_200722
BCW_201899,1.2,1.2,BCW_201899
BCW_200496,1.2,1.2,BCW_200496
BCW_201864,1.2,1.2,BCW_201864
BCW_201872,1.2,1.2,BCW_201872
BCW_201838,1.2,1.2,BCW_201838
BCW_200505,1.2,1.2,BCW_200505
BCW_200275,1.2,1.2,BCW_200275
BCW_200705,1.2,1.2,BCW_200705
BCW_200607,1.2,1.2,BCW_200607
BCW_201900,1.2,1.2,BCW_201900
BCW_200600,1.2,1.2,BCW_200600
BCW_200724,1.1,1.1,BCW_200724
BCW_200599,1.1,1.1,BCW_200599
BCW_200847,1.1,1.1,BCW_200847
BCW_200986,1.1,1.1,BCW_200986
BCW_200489,1.1,1.1,BCW_200489
BCW_201902,1.1,1.1,BCW_201902
BCW_200669,1.1,1.1,BCW_200669
BCW_201290,1.1,1.1,BCW_201290
BCW_200307,1.1,1.1,BCW_200307
