m/z	15N					
921.7	1.383					
955.6	0.925					
184.1	0.822					
1014.7	0.699					
536.5	0.666					
830.8	0.638					
956.6	0.584					
645.9	0.520					
793.6	0.504					
759.4	0.458					
794.6	0.457					
829.6	0.427					
1198.6	0.413					
111.1	0.362					
831.8	0.359					
1311.5	0.350					
537.5	0.342					
1128.8	0.341					
760.5	0.338					
104.1	0.323					
647.0	0.318					
1015.7	0.312					
1312.6	0.303					
944.0	0.290					
957.6	0.287					
940.7	0.282					
1127.8	0.279					
1199.7	0.275					
124.0	0.274					
684.6	0.262					
118.9	0.261					
1382.6	0.255					
901.6	0.254					
128.1	0.253					
631.5	0.246					
590.8	0.222					
708.5	0.219					
922.7	0.217					
806.6	0.216					
717.4	0.208					
945.0	0.207					
550.5	0.206					
844.4	0.206					
1200.9	0.205					
958.6	0.203					
685.7	0.201					
1496.3	0.200					
915.4	0.198					
632.5	0.198					
718.4	0.196					
916.5	0.186					
563.5	0.181					
1383.7	0.179					
832.9	0.178					
294.2	0.178					
114.1	0.178					
902.6	0.177					
115.1	0.177					
686.7	0.175					
216.1	0.174					
102.0	0.173					
1016.7	0.167					
917.5	0.166					
164.9	0.166					
941.9	0.163					
929.2	0.162					
1129.9	0.160					
215.1	0.158					
930.2	0.157					
126.1	0.154					
752.8	0.153					
1003.2	0.150					
1313.7	0.147					
648.0	0.146					
1566.8	0.145					
190.1	0.145					
845.6	0.144					
576.5	0.142					
280.3	0.141					
886.7	0.138					
113.1	0.134					
1495.2	0.133					
1028.1	0.133					
195.0	0.132					
396.8	0.132					
146.1	0.131					
1384.7	0.130					
931.3	0.130					
658.5	0.129					
206.1	0.129					
116.9	0.129					
1497.3	0.128					
704.1	0.126					
603.5	0.126					
162.1	0.125					
577.5	0.124					
1567.9	0.123					
906.7	0.122					
818.6	0.122					
907.8	0.121					
154.1	0.121					
746.5	0.120					
816.6	0.118					
617.8	0.118					
778.7	0.118					
188.1	0.118					
562.5	0.117					
1029.2	0.116					
354.3	0.115					
120.9	0.115					
817.6	0.115					
578.5	0.115					
926.9	0.115					
1085.8	0.114					
710.6	0.111					
659.5	0.111					
135.0	0.110					
130.2	0.110					
144.1	0.110					
371.2	0.110					
282.3	0.110					
616.5	0.108					
186.1	0.108					
165.9	0.107					
764.8	0.107					
342.8	0.106					
1212.4	0.106					
946.1	0.106					
178.9	0.106					
494.7	0.105					
335.1	0.104					
217.1	0.104					
127.1	0.103					
859.3	0.103					
1569.0	0.103					
604.5	0.102					
278.2	0.101					
747.6	0.101					
913.2	0.101					
1000.9	0.101					
807.8	0.100					
147.2	0.099					
564.5	0.099					
773.6	0.098					
109.0	0.098					
1213.4	0.098					
204.1	0.098					
671.5	0.098					
220.1	0.097					
942.9	0.097					
792.5	0.096					
1126.8	0.096					
995.5	0.095					
232.1	0.095					
1325.2	0.095					
218.1	0.094					
145.1	0.093					
834.0	0.093					
110.1	0.092					
533.4	0.092					
241.1	0.092					
103.1	0.091					
1017.8	0.091					
1115.0	0.090					
959.6	0.090					
151.0	0.089					
606.8	0.089					
1141.6	0.089					
762.5	0.089					
179.9	0.089					
709.5	0.088					
761.5	0.087					
1152.3	0.086					
298.3	0.086					
1142.7	0.085					
538.7	0.084					
1270.4	0.084					
340.3	0.083					
141.1	0.083					
551.5	0.083					
316.8	0.083					
971.2	0.082					
203.1	0.082					
1031.3	0.082					
150.0	0.082					
313.3	0.082					
1086.8	0.082					
1004.2	0.082					
774.6	0.081					
189.1	0.081					
887.7	0.081					
374.3	0.080					
260.1	0.080					
158.1	0.080					
789.5	0.080					
1269.4	0.079					
1227.3	0.079					
1030.3	0.079					
148.9	0.079					
1454.6	0.078					
1002.0	0.078					
660.5	0.078					
175.1	0.078					
306.1	0.078					
888.7	0.077					
928.0	0.077					
1396.4	0.077					
1498.4	0.077					
633.6	0.077					
549.4	0.077					
133.0	0.076					
242.1	0.076					
1298.9	0.076					
266.2	0.076					
142.1	0.076					
326.3	0.076					
999.9	0.075					
192.9	0.075					
938.7	0.075					
846.6	0.075					
105.1	0.074					
932.4	0.074					
1326.4	0.073					
725.8	0.073					
268.9	0.072					
808.9	0.072					
356.1	0.072					
370.2	0.071					
296.2	0.071					
972.3	0.071					
748.6	0.071					
1751.5	0.071					
719.4	0.070					
1131.0	0.070					
1226.2	0.070					
1113.9	0.069					
552.5	0.069					
129.1	0.069					
428.7	0.068					
779.8	0.068					
588.5	0.068					
202.1	0.067					
724.6	0.067					
785.2	0.067					
805.5	0.067					
281.3	0.066					
177.1	0.066					
1214.5	0.066					
1116.0	0.065					
1370.9	0.065					
705.2	0.065					
1483.8	0.065					
1453.6	0.065					
1300.0	0.065					
176.1	0.065					
430.0	0.065					
1077.3	0.064					
786.2	0.064					
973.4	0.064					
1314.7	0.064					
1013.6	0.064					
1397.4	0.064					
918.6	0.064					
672.5	0.064					
618.8	0.063					
325.2	0.063					
1186.0	0.063					
1079.5	0.063					
1143.7	0.063					
1681.3	0.063					
753.9	0.063					
1151.0	0.063					
372.2	0.062					
1078.5	0.062					
523.3	0.062					
378.4	0.062					
496.1	0.062					
153.1	0.061					
143.1	0.061					
123.0	0.061					
106.9	0.061					
1112.9	0.061					
140.1	0.060					
1215.7	0.060					
136.0	0.060					
1101.5	0.060					
1333.8	0.060					
731.4	0.060					
166.9	0.059					
1153.4	0.059					
385.1	0.059					
353.3	0.059					
860.3	0.059					
745.5	0.058					
234.1	0.058					
1580.5	0.058					
903.6	0.057					
1455.7	0.057					
1385.9	0.057					
620.9	0.057					
662.6	0.057					
229.1	0.057					
575.5	0.057					
1369.8	0.057					
1225.2	0.057					
644.9	0.057					
1228.3	0.056					
960.6	0.056					
228.1	0.056					
591.9	0.056					
1682.4	0.056					
1202.0	0.056					
1042.9	0.056					
400.1	0.055					
996.6	0.055					
362.2	0.055					
339.3	0.055					
989.2	0.055					
1469.1	0.055					
187.1	0.055					
191.2	0.055					
1752.6	0.054					
1183.9	0.054					
1157.5	0.054					
726.9	0.054					
1185.0	0.054					
947.1	0.054					
733.4	0.054					
152.0	0.053					
776.6	0.053					
702.7	0.053					
1043.9	0.053					
1301.0	0.053					
161.1	0.053					
239.0	0.053					
185.1	0.053					
248.1	0.053					
534.4	0.053					
804.5	0.053					
231.1	0.053					
155.1	0.052					
1302.0	0.052					
139.0	0.052					
1297.9	0.052					
1511.0	0.052					
1360.3	0.051					
1327.5	0.051					
677.3	0.051					
1356.1	0.051					
1680.2	0.051					
328.8	0.051					
314.3	0.051					
1570.0	0.051					
788.2	0.051					
394.4	0.050					
924.8	0.050					
265.2	0.050					
300.0	0.050					
1076.3	0.049					
312.2	0.049					
1694.9	0.049					
939.7	0.049					
182.0	0.049					
180.9	0.049					
1193.5	0.049					
1484.8	0.049					
222.9	0.049					
358.1	0.049					
1638.9	0.049					
988.0	0.048					
1481.6	0.048					
174.1	0.048					
1233.6	0.048					
1482.7	0.048					
1018.8	0.048					
194.0	0.048					
592.9	0.048					
1328.5	0.048					
137.0	0.048					
1231.6	0.048					
398.1	0.048					
657.4	0.047					
264.2	0.047					
835.0	0.047					
1398.4	0.047					
1341.2	0.047					
259.1	0.047					
1412.2	0.047					
160.1	0.047					
732.4	0.047					
1080.6	0.047					
815.5	0.047					
285.1	0.047					
267.3	0.047					
904.6	0.047					
1499.4	0.046					
341.3	0.046					
1359.2	0.046					
663.7	0.046					
870.9	0.046					
460.3	0.046					
1087.9	0.046					
112.1	0.046					
1554.1	0.046					
214.0	0.046					
1303.3	0.045					
734.5	0.045					
1667.5	0.045					
324.2	0.045					
1187.1	0.045					
908.9	0.045					
649.0	0.045					
1750.5	0.045					
1144.7	0.045					
470.3	0.045					
1334.9	0.045					
117.9	0.045					
438.2	0.045					
1637.8	0.044					
1512.0	0.044					
1449.3	0.044					
854.9	0.044					
923.8	0.044					
1373.2	0.044					
1368.8	0.044					
1332.6	0.044					
674.8	0.044					
208.1	0.044					
1109.8	0.044					
1156.5	0.044					
1159.7	0.044					
131.9	0.043					
101.0	0.043					
1216.7	0.043					
198.0	0.043					
1766.2	0.043					
163.1	0.043					
1411.1	0.043					
1117.0	0.043					
444.2	0.042					
728.1	0.042					
257.1	0.042					
953.3	0.042					
1220.9	0.042					
1582.5	0.042					
310.2	0.042					
156.1	0.042					
1217.8	0.042					
1375.3	0.042					
615.5	0.042					
1555.2	0.042					
1513.0	0.042					
1545.6	0.042					
986.8	0.041					
1708.8	0.041					
1271.5	0.041					
819.7	0.041					
1697.1	0.041					
219.1	0.041					
772.5	0.041					
1556.2	0.041					
982.6	0.041					
608.0	0.041					
138.0	0.041					
1500.5	0.041					
605.7	0.041					
1936.5	0.041					
1284.1	0.041					
634.6	0.041					
1033.4	0.041					
1456.7	0.041					
244.1	0.041					
766.9	0.041					
1095.2	0.041					
837.1	0.041					
1374.3	0.040					
1470.2	0.040					
1371.9	0.040					
962.8	0.040					
1315.7	0.040					
981.6	0.040					
1005.3	0.040					
1410.0	0.040					
431.1	0.040					
1072.1	0.040					
288.1	0.040					
914.2	0.040					
1155.5	0.040					
1317.9	0.039					
1339.0	0.039					
1426.1	0.039					
230.1	0.039					
1145.8	0.039					
347.1	0.039					
713.8	0.039					
1355.0	0.039					
1525.6	0.039					
1935.5	0.039					
246.1	0.039					
258.1	0.039					
1188.2	0.039					
250.2	0.039					
462.3	0.039					
1285.1	0.039					
1616.6	0.039					
1447.3	0.038					
489.3	0.038					
1059.6	0.038					
1281.0	0.038					
589.8	0.038					
1340.1	0.038					
1696.0	0.038					
205.1	0.038					
755.0	0.038					
387.2	0.038					
446.2	0.038					
682.5	0.038					
1553.1	0.038					
284.0	0.038					
1864.4	0.038					
1331.6	0.038					
933.5	0.038					
368.1	0.038					
1329.5	0.038					
1180.8	0.038					
741.3	0.037					
286.1	0.037					
240.1	0.037					
159.1	0.037					
1272.5	0.037					
1007.4	0.037					
1304.4	0.037					
1062.7	0.037					
1132.1	0.037					
790.5	0.037					
1362.3	0.037					
1546.7	0.037					
990.3	0.037					
1108.7	0.037					
1485.8	0.037					
780.9	0.037					
1675.0	0.037					
1393.2	0.037					
1557.3	0.037					
919.7	0.037					
1581.5	0.037					
1020.9	0.037					
1219.8	0.037					
345.0	0.037					
1354.0	0.037					
1009.5	0.037					
1376.4	0.036					
1154.5	0.036					
1133.1	0.036					
1032.4	0.036					
1451.4	0.036					
1753.7	0.036					
1316.8	0.036					
384.1	0.036					
1230.5	0.036					
1468.1	0.036					
445.2	0.036					
1492.0	0.036					
210.1	0.036					
1210.3	0.036					
1709.9	0.036					
1097.3	0.036					
1099.4	0.036					
1321.0	0.036					
967.0	0.036					
1377.4	0.036					
1171.3	0.036					
858.2	0.036					
520.3	0.036					
1343.3	0.036					
1135.2	0.036					
1195.5	0.036					
974.4	0.036					
1625.2	0.036					
1677.1	0.036					
364.3	0.036					
579.6	0.036					
1640.0	0.036					
1668.6	0.036					
1318.9	0.036					
650.2	0.036					
1243.0	0.036					
1165.0	0.036					
1273.6	0.036					
1158.6	0.035					
782.9	0.035					
803.2	0.035					
1320.0	0.035					
1306.4	0.035					
890.8	0.035					
1335.9	0.035					
1181.8	0.035					
1041.8	0.035					
1330.5	0.035					
416.3	0.035					
119.9	0.035					
1400.5	0.035					
