BCW_ID,ratio,bin
BCW_200181,4.6,A
BCW_200185,4.3,A
BCW_200241,4.2,A
BCW_200179,4.0,A
BCW_200189,3.8,B
BCW_200130,3.8,B
BCW_200175,3.7,B
BCW_200199,3.5,B
BCW_200198,3.4,C
BCW_200193,3.3,C
BCW_200138,3.1,C
BCW_200128,3.0,C
BCW_200068,3.0,C
BCW_200174,3.0,C
BCW_200080,2.9,D
BCW_200159,2.9,D
BCW_200126,2.9,D
BCW_200196,2.8,D
BCW_200059,2.8,D
BCW_201894,2.8,D
BCW_200163,2.8,D
BCW_200167,2.7,D
BCW_200121,2.7,D
BCW_200169,2.7,D
BCW_200173,2.6,D
BCW_200057,2.4,E
BCW_200190,2.3,E
BCW_201868,2.3,E
BCW_201880,2.2,E
BCW_201936,2.2,E
BCW_200051,2.2,E
BCW_200103,2.1,E
BCW_200139,1.8,F
BCW_201163,1.7,F
BCW_201895,1.7,F
BCW_201870,1.7,F
BCW_201856,1.6,F
BCW_201173,1.5,F
BCW_200726,1.5,F
BCW_200328,1.5,F
BCW_200737,1.5,F
BCW_201852,1.5,F
BCW_200444,1.5,F
BCW_201809,1.5,F
BCW_201813,1.5,F
BCW_201889,1.5,F
BCW_200902,1.5,F
BCW_201878,1.4,G
BCW_201085,1.4,G
BCW_201933,1.4,G
BCW_201917,1.4,G
BCW_201885,1.4,G
BCW_200926,1.4,G
BCW_201818,1.4,G
BCW_201867,1.4,G
BCW_200443,1.4,G
BCW_201831,1.4,G
BCW_201879,1.4,G
BCW_201882,1.4,G
BCW_200727,1.4,G
BCW_201236,1.4,G
BCW_200566,1.4,G
BCW_201866,1.4,G
BCW_201169,1.4,G
BCW_201876,1.3,G
BCW_201883,1.3,G
BCW_201187,1.3,G
BCW_201884,1.3,G
BCW_201073,1.3,G
BCW_201152,1.3,G
BCW_201303,1.3,G
BCW_201874,1.3,G
BCW_200808,1.3,G
BCW_201083,1.3,G
BCW_200596,1.3,G
BCW_201166,1.3,G
BCW_201153,1.3,G
BCW_201834,1.3,G
BCW_200435,1.3,G
BCW_201888,1.3,G
BCW_200279,1.3,G
BCW_201815,1.3,G
BCW_201859,1.3,G
BCW_201858,1.3,G
BCW_200270,1.3,G
BCW_200289,1.3,G
BCW_201910,1.3,G
BCW_201045,1.3,G
BCW_200661,1.3,G
BCW_201887,1.3,G
BCW_200556,1.3,G
BCW_201167,1.3,G
BCW_201851,1.3,G
BCW_200621,1.3,G
BCW_201873,1.3,G
BCW_201849,1.3,G
BCW_201860,1.3,G
BCW_200810,1.3,G
BCW_200488,1.3,G
BCW_201840,1.3,G
BCW_200533,1.3,G
BCW_200056,1.3,G
BCW_200208,1.2,G
BCW_201245,1.2,G
BCW_201025,1.2,G
BCW_201260,1.2,G
BCW_201162,1.2,G
BCW_201185,1.2,G
BCW_201259,1.2,G
BCW_201877,1.2,G
BCW_201829,1.2,G
BCW_201824,1.2,G
BCW_201832,1.2,G
BCW_201844,1.2,G
BCW_201836,1.2,G
BCW_201926,1.2,G
BCW_200487,1.2,G
BCW_201847,1.2,G
BCW_200885,1.2,G
BCW_200620,1.2,G
BCW_201939,1.2,G
BCW_200570,1.2,G
BCW_201808,1.2,G
BCW_200882,1.2,G
BCW_201915,1.2,G
BCW_201835,1.2,G
BCW_201825,1.2,G
BCW_201810,1.2,G
BCW_200665,1.2,G
BCW_200938,1.2,G
BCW_201814,1.2,G
BCW_201850,1.2,G
BCW_201875,1.2,G
BCW_200290,1.2,G
BCW_201901,1.2,G
BCW_200473,1.2,G
BCW_200883,1.2,G
BCW_201246,1.2,G
BCW_201863,1.2,G
BCW_201909,1.2,G
BCW_201990,1.2,G
BCW_201659,1.2,G
BCW_201886,1.2,G
BCW_200939,1.2,G
BCW_201176,1.2,G
BCW_200955,1.2,G
BCW_201897,1.2,G
BCW_200561,1.2,G
BCW_200904,1.2,G
BCW_201084,1.2,G
BCW_201819,1.2,G
BCW_200725,1.2,G
BCW_201862,1.2,G
BCW_201247,1.2,G
BCW_201098,1.2,G
BCW_200498,1.2,G
BCW_200539,1.2,G
BCW_201916,1.2,G
BCW_200662,1.2,G
BCW_200723,1.2,G
BCW_201090,1.2,G
BCW_200715,1.2,G
BCW_201830,1.2,G
BCW_200517,1.2,G
BCW_201861,1.2,G
BCW_201823,1.2,G
BCW_201014,1.2,G
BCW_201881,1.2,G
BCW_200722,1.2,G
BCW_201899,1.2,G
BCW_200496,1.2,G
BCW_201864,1.2,G
BCW_201872,1.2,G
BCW_201838,1.2,G
BCW_200505,1.2,G
BCW_200275,1.2,G
BCW_200705,1.2,G
BCW_200607,1.2,G
BCW_201900,1.2,G
BCW_200600,1.2,G
BCW_200004,1.2,G
BCW_200114,1.2,G
BCW_200090,1.2,G
BCW_200111,1.2,G
BCW_200207,1.2,G
BCW_200230,1.1,G
BCW_200074,1.1,G
BCW_200117,1.1,G
BCW_200211,1.1,G
BCW_200724,1.1,G
BCW_200599,1.1,G
BCW_200847,1.1,G
BCW_200986,1.1,G
BCW_200489,1.1,G
BCW_201902,1.1,G
BCW_200669,1.1,G
BCW_201290,1.1,G
BCW_200307,1.1,G
BCW_201812,1.1,G
BCW_200552,1.1,G
BCW_201019,1.1,G
BCW_201703,1.1,G
BCW_201079,1.1,G
BCW_201151,1.1,G
BCW_200449,1.1,G
BCW_201056,1.1,G
BCW_201263,1.1,G
BCW_201261,1.1,G
BCW_200266,1.1,G
BCW_201164,1.1,G
BCW_201848,1.1,G
BCW_200274,1.1,G
BCW_201871,1.1,G
BCW_201954,1.1,G
BCW_200470,1.1,G
BCW_200565,1.1,G
BCW_200920,1.1,G
BCW_201891,1.1,G
BCW_201865,1.1,G
BCW_200529,1.1,G
BCW_200821,1.1,G
BCW_201315,1.1,G
BCW_200991,1.1,G
BCW_201972,1.1,G
BCW_200736,1.1,G
BCW_201833,1.1,G
BCW_200828,1.1,G
BCW_200459,1.1,G
BCW_200598,1.1,G
BCW_201117,1.1,G
BCW_201845,1.1,G
BCW_201097,1.1,G
BCW_200567,1.1,G
BCW_200542,1.1,G
BCW_200446,1.1,G
BCW_200648,1.1,G
BCW_200460,1.1,G
BCW_200547,1.1,G
BCW_200718,1.1,G
BCW_201827,1.1,G
BCW_201896,1.1,G
BCW_201175,1.1,G
BCW_200634,1.1,G
BCW_200815,1.1,G
BCW_200951,1.1,G
BCW_200471,1.1,G
BCW_200659,1.1,G
BCW_200642,1.1,G
BCW_200912,1.1,G
BCW_201184,1.1,G
BCW_201957,1.1,G
BCW_200447,1.1,G
BCW_201853,1.1,G
BCW_201150,1.1,G
BCW_200801,1.1,G
BCW_200525,1.1,G
BCW_201826,1.1,G
BCW_201302,1.1,G
BCW_200462,1.1,G
BCW_200477,1.1,G
BCW_200434,1.1,G
BCW_201008,1.1,G
BCW_200578,1.1,G
BCW_201945,1.1,G
BCW_201726,1.1,G
BCW_200800,1.1,G
BCW_200516,1.1,G
BCW_200776,1.1,G
BCW_201938,1.1,G
BCW_200555,1.1,G
BCW_200719,1.1,G
BCW_200983,1.1,G
BCW_201839,1.1,G
BCW_200797,1.1,G
BCW_200656,1.1,G
BCW_200881,1.1,G
BCW_200855,1.1,G
BCW_201304,1.1,G
BCW_200281,1.1,G
BCW_200574,1.1,G
BCW_200458,1.1,G
BCW_200903,1.1,G
BCW_200650,1.1,G
BCW_200553,1.1,G
BCW_201854,1.1,G
BCW_201841,1.1,G
BCW_200886,1.1,G
BCW_201975,1.1,G
BCW_200588,1.1,G
BCW_200312,1.1,G
BCW_200806,1.1,G
BCW_201257,1.1,G
BCW_200880,1.1,G
BCW_200952,1.1,G
BCW_200134,1.1,G
BCW_200043,1.1,G
BCW_200166,1.1,G
BCW_200070,1.1,G
BCW_200107,1.1,G
BCW_200238,1.1,G
BCW_200102,1.1,G
BCW_200094,1.1,G
BCW_200097,1.0,G
BCW_200209,1.0,G
BCW_200058,1.0,G
BCW_200108,1.0,G
BCW_200015,1.0,G
BCW_200083,1.0,G
BCW_200206,1.0,G
BCW_200060,1.0,G
BCW_200037,1.0,G
BCW_200022,1.0,G
BCW_200054,1.0,G
BCW_200017,1.0,G
