Isolate,Genus
BCW-200444,unassigned
BCW-200926,unassigned
BCW-201879,unassigned
BCW-200727,unassigned
BCW-201876,unassigned
BCW-201888,unassigned
BCW-201858,unassigned
BCW-200661,Klebsiella
BCW-201887,unassigned
BCW-201873,unassigned
BCW-200488,unassigned
BCW-201162,Rahnella
BCW-201926,Raoultella
BCW-200885,unassigned
BCW-200620,unassigned
BCW-201808,unassigned
BCW-200882,unassigned
BCW-200665,Klebsiella
BCW-201850,unassigned
BCW-201901,unassigned
BCW-201990,unassigned
BCW-201659,Enterobacter
BCW-201886,unassigned
BCW-200955,unassigned
BCW-201098,Klebsiella
BCW-200662,Klebsiella
BCW-200517,unassigned
BCW-200496,unassigned
BCW-201900,Raoultella
BCW-200600,Raoultella
BCW-200847,unassigned
BCW-200669,Enterobacter
BCW-201290,Pseudomonas
BCW-200307,unassigned
BCW-200552,Rahnella
BCW-201019,Klebsiella
BCW-201703,Klebsiella
BCW-200449,unassigned
BCW-201263,Klebsiella
BCW-200821,Rahnella
BCW-201315,Rahnella
BCW-201972,unassigned
BCW-200828,unassigned
BCW-201097,unassigned
BCW-200567,unassigned
BCW-200446,unassigned
BCW-200648,Raoultella
BCW-200951,unassigned
BCW-201184,Rahnella
BCW-200801,Rahnella
BCW-200525,unassigned
BCW-201302,Rahnella
BCW-200578,Rahnella
BCW-200800,Rahnella
BCW-200555,unassigned
BCW-200797,Rahnella
BCW-200656,unassigned
BCW-200881,unassigned
BCW-200855,unassigned
BCW-201304,Rahnella
BCW-200281,unassigned
BCW-200650,Rahnella
BCW-200553,Klebsiella
BCW-200886,unassigned
BCW-200880,unassigned
BCW-200647,Rahnella
BCW-200915,unassigned
BCW-200798,Rahnella
BCW-201614,Klebsiella
BCW-201828,unassigned
BCW-200887,unassigned
BCW-201649,Raoultella
BCW-201937,unassigned
BCW-201890,Raoultella
BCW-201721,Enterobacter
BCW-200438,Raoultella
BCW-201615,Klebsiella
BCW-200909,unassigned
BCW-201267,unassigned
BCW-200499,unassigned
BCW-200440,unassigned
BCW-200879,unassigned
BCW-200442,unassigned
BCW-200559,Rahnella
BCW-200308,unassigned
BCW-200820,unassigned
BCW-201075,Klebsiella
BCW-200818,Rahnella
BCW-201059,Rahnella
BCW-201021,Klebsiella
BCW-201044,unassigned
BCW-201461,unassigned
BCW-201071,Raoultella
BCW-200738,unassigned
BCW-200651,Klebsiella
BCW-200276,Klebsiella
BCW-200521,Raoultella
BCW-201070,Rahnella
BCW-201441,Klebsiella
BCW-200660,Klebsiella
BCW-200704,Klebsiella
BCW-201088,Rahnella
BCW-201078,Klebsiella
BCW-201443,unassigned
BCW-200667,Enterobacter
BCW-201020,Klebsiella
BCW-201155,unassigned
BCW-200874,unassigned
BCW-200892,unassigned
BCW-201091,Rahnella
BCW-200437,unassigned
BCW-200509,unassigned
BCW-201620,Klebsiella
BCW-201297,Rahnella
BCW-200317,Enterobacter
BCW-200785,Pseudomonas
BCW-200891,unassigned
BCW-200577,Raoultella
BCW-201058,unassigned
BCW-201107,Klebsiella
BCW-200014,Enterobacter
BCW-200016,Enterobacter
BCW-200017,Enterobacter
BCW-200026,Enterobacter
BCW-200028,unassigned
BCW-200030,Raoultella
BCW-200034,Enterobacter
BCW-200035,Enterobacter
BCW-200049,Klebsiella
BCW-200050,Enterobacter
BCW-200053,Klebsiella
BCW-200069,Klebsiella
BCW-200083,Klebsiella
BCW-200084,Klebsiella
BCW-200086,Klebsiella
BCW-200093,Klebsiella
BCW-200095,Enterobacter
BCW-200096,Klebsiella
BCW-200099,Klebsiella
BCW-200102,Enterobacter
BCW-200106,unassigned
BCW-200109,Enterobacter
BCW-200113,unassigned
BCW-200117,unassigned
BCW-200120,unassigned
BCW-200122,Enterobacter
BCW-200123,Klebsiella
BCW-200124,Klebsiella
BCW-200129,Klebsiella
BCW-200132,Klebsiella
BCW-200133,unassigned
BCW-200136,Klebsiella
BCW-200137,Klebsiella
BCW-200141,Kosakonia
BCW-200142,unassigned
BCW-200148,unassigned
BCW-200156,unassigned
BCW-200161,unassigned
BCW-200162,unassigned
BCW-200165,unassigned
BCW-200167,Klebsiella
BCW-200168,unassigned
BCW-200169,unassigned
BCW-200171,unassigned
BCW-200172,Klebsiella
BCW-200177,Klebsiella
BCW-200181,Kosakonia
BCW-200183,Kosakonia
BCW-200184,unassigned
BCW-200194,Kosakonia
BCW-200195,unassigned
BCW-200197,Kosakonia
BCW-200199,unassigned
BCW-200200,unassigned
BCW-200201,unassigned
BCW-200203,Raoultella
BCW-200206,Enterobacter
BCW-200214,Kosakonia
BCW-200216,Enterobacter
BCW-200221,unassigned
BCW-200225,unassigned
BCW-200226,Kosakonia
BCW-200227,Kosakonia
BCW-200234,unassigned
BCW-200236,unassigned
BCW-200237,unassigned
