BCW_ID,Round,OD600_D0_1,OD600_D0_2,OD600_D0_3,OD600_D4_R1,OD600_D4_R2,OD600_D4_R3
BCW_200488,Round_1,0.109,0.114,0.091,0.342,0.314,0.325
BCW_200726,Round_1,0.134,0.151,0.122,0.382,0.375,0.344
BCW_201889,Round_1,0.112,0.179,0.087,0.578,0.756,0.456
BCW_201173,Round_1,0.116,0.116,0.099,0.141,0.145,0.145
BCW_201245,Round_1,0.109,0.153,0.097,0.121,0.175,0.138
BCW_200810,Round_1,0.134,0.154,0.122,0.159,0.164,0.179
BCW_200328,Round_1,0.152,0.185,0.155,0.406,0.419,0.411
BCW_201866,Round_1,0.118,0.171,0.147,0.193,0.206,0.269
BCW_201859,Round_1,0.107,0.114,0.114,0.186,0.21,0.231
BCW_201025,Round_1,0.116,0.131,0.117,0.168,0.158,0.262
BCW_201162,Round_1,0.1,0.113,0.104,0.293,0.293,0.299
BCW_200661,Round_1,0.131,0.168,0.106,0.415,0.472,0.432
BCW_201824,Round_1,0.121,0.134,0.119,0.504,0.501,0.48
BCW_200596,Round_1,0.115,0.143,0.122,0.287,0.282,0.293
BCW_200566,Round_1,0.13,0.131,0.114,0.307,0.305,0.297
BCW_200621,Round_1,0.13,0.151,0.131,0.468,0.452,0.449
BCW_201813,Round_1,0.107,0.1,0.115,0.523,0.526,0.527
BCW_201874,Round_1,0.121,0.123,0.12,0.126,0.122,0.119
BCW_201858,Round_1,0.176,0.197,0.183,0.301,0.305,0.312
BCW_201876,Round_1,0.192,0.242,0.185,0.305,0.298,0.305
BCW_200727,Round_1,0.172,0.189,0.17,0.347,0.348,0.346
BCW_201894,Round_1,0.203,0.213,0.192,0.309,0.3,0.302
BCW_200926,Round_1,0.124,0.126,0.125,0.32,0.32,0.311
BCW_201878,Round_1,0.178,0.175,0.163,0.194,0.187,0.189
BCW_201880,Round_1,0.101,0.104,0.102,0.153,0.154,0.152
BCW_201880,Round_1,0.123,0.13,0.126,0.144,0.143,0.138
BCW_201851,Round_1,0.19,0.222,0.179,0.377,0.368,0.374
BCW_200808,Round_1,0.148,0.148,0.113,0.248,0.31,0.296
BCW_201888,Round_1,0.187,0.183,0.159,0.289,0.31,0.296
BCW_201187,Round_1,0.122,0.147,0.13,0.314,0.326,0.316
BCW_201873,Round_1,0.147,0.184,0.16,0.283,0.286,0.268
BCW_200662,Round_1,0.141,0.155,0.137,0.407,0.404,0.385
BCW_201236,Round_1,0.104,0.117,0.121,0.156,0.161,0.169
BCW_201836,Round_1,0.092,0.091,0.095,0.233,0.215,0.213
BCW_200939,Round_1,0.126,0.163,0.14,0.193,0.145,0.146
BCW_200533,Round_1,0.111,0.105,0.105,0.346,0.348,0.358
BCW_201045,Round_1,0.115,0.136,0.12,0.276,0.253,0.301
BCW_200279,Round_1,0.156,0.167,0.155,0.384,0.369,0.362
BCW_201809,Round_1,0.128,0.146,0.135,0.289,0.239,0.335
BCW_200443,Round_1,0.097,0.091,0.091,0.236,0.237,0.271
