BCW_ID,Round,OD535_1,OD535_2,OD535_3,mg_ml_1,mg_ml_2,mg_ml_3
BCW_200488,Round_1,0.183,0.185,0.186,1.374045802,1.526717557,1.603053435
BCW_200726,Round_1,0.529,0.516,0.493,27.78625954,26.79389313,25.03816794
BCW_201889,Round_1,0.417,0.418,0.398,19.23664122,19.3129771,17.78625954
BCW_201173,Round_1,0.477,0.499,0.475,23.81679389,25.49618321,23.66412214
BCW_201245,Round_1,0.399,0.42,0.396,17.86259542,19.46564885,17.63358779
BCW_200810,Round_1,0.396,0.379,0.368,17.63358779,16.33587786,15.49618321
BCW_200328,Round_1,0.438,0.432,0.404,20.83969466,20.38167939,18.24427481
BCW_201866,Round_1,0.394,0.393,0.367,17.48091603,17.40458015,15.41984733
BCW_201859,Round_1,0.335,0.279,0.287,12.97709924,8.702290076,9.312977099
BCW_201025,Round_1,0.327,0.326,0.322,12.36641221,12.29007634,11.98473282
BCW_201162,Round_1,0.302,0.294,0.314,10.45801527,9.847328244,11.3740458
BCW_200661,Round_1,0.827,0.703,0.762,50.53435115,41.06870229,45.57251908
BCW_201824,Round_1,0.283,0.284,0.282,9.007633588,9.083969466,8.93129771
BCW_200596,Round_1,0.197,0.199,0.199,2.442748092,2.595419847,2.595419847
BCW_200566,Round_1,0.362,0.367,0.913,15.03816794,15.41984733,57.09923664
BCW_200621,Round_1,0.297,0.302,0.298,10.07633588,10.45801527,10.15267176
BCW_201813,Round_1,0.196,0.187,0.184,2.366412214,1.679389313,1.450381679
BCW_201874,Round_1,0.306,0.298,0.29,10.76335878,10.15267176,9.541984733
BCW_201858,Round_1,0.476,0.472,0.457,23.74045802,23.4351145,22.29007634
BCW_201876,Round_1,0.415,0.423,0.402,19.08396947,19.69465649,18.09160305
BCW_200727,Round_1,0.22,0.217,0.218,4.198473282,3.969465649,4.045801527
BCW_201894,Round_1,0.404,0.407,0.401,18.24427481,18.47328244,18.01526718
BCW_200926,Round_1,0.462,0.469,0.451,22.67175573,23.20610687,21.83206107
BCW_201878,Round_1,0.415,0.405,0.419,19.08396947,18.32061069,19.38931298
BCW_201880,Round_1,0.523,0.52,0.495,27.32824427,27.09923664,25.19083969
BCW_201880,Round_1,0.532,0.526,0.508,28.01526718,27.55725191,26.18320611
BCW_201851,Round_1,0.196,0.196,0.203,2.366412214,2.366412214,2.900763359
BCW_200808,Round_1,0.182,0.192,0.193,1.297709924,2.061068702,2.13740458
BCW_201888,Round_1,0.403,0.383,0.39,18.16793893,16.64122137,17.17557252
BCW_201187,Round_1,0.224,0.241,0.242,4.503816794,5.801526718,5.877862595
BCW_201873,Round_1,0.461,0.472,0.463,22.59541985,23.4351145,22.7480916
BCW_200662,Round_1,0.602,0.589,0.568,33.35877863,32.36641221,30.76335878
BCW_201236,Round_1,0.252,0.257,0.243,6.641221374,7.022900763,5.954198473
BCW_201836,Round_1,0.285,0.268,0.253,9.160305344,7.86259542,6.717557252
BCW_200939,Round_1,0.166,0.169,0.16,0.076335878,0.305343511,-0.381679389
BCW_200533,Round_1,0.518,0.3,0.251,26.94656489,10.30534351,6.564885496
BCW_201045,Round_1,0.392,0.394,0.37,17.32824427,17.48091603,15.64885496
BCW_200279,Round_1,0.474,0.475,0.457,23.58778626,23.66412214,22.29007634
BCW_201809,Round_1,0.487,0.481,0.465,24.58015267,24.1221374,22.90076336
BCW_200443,Round_1,0.496,0.517,0.509,25.26717557,26.87022901,26.25954198
BCW_201860,Round_1,0.383,0.405,0.358,16.64122137,18.32061069,14.73282443
BCW_201879,Round_1,0.453,0.448,0.432,21.98473282,21.60305344,20.38167939
BCW_201910,Round_1,0.226,0.217,0.215,4.65648855,3.969465649,3.816793893
BCW_201818,Round_1,0.206,0.199,0.197,3.129770992,2.595419847,2.442748092
BCW_200556,Round_1,0.175,0.173,0.174,0.763358779,0.610687023,0.687022901
BCW_201825,Round_1,0.22,0.226,0.222,4.198473282,4.65648855,4.351145038
BCW_201834,Round_1,0.187,0.199,0.194,1.679389313,2.595419847,2.213740458
BCW_201831,Round_1,0.136,0.138,0.138,-2.213740458,-2.061068702,-2.061068702
BCW_201835,Round_1,0.198,0.198,0.199,2.519083969,2.519083969,2.595419847
BCW_201870,Round_1,0.309,0.305,0.299,10.99236641,10.6870229,10.22900763
BCW_200725,Round_1,0.648,0.615,0.577,36.87022901,34.35114504,31.45038168
BCW_201868,Round_1,0.239,0.246,0.237,5.648854962,6.183206107,5.496183206
BCW_201856,Round_1,0.178,0.184,0.172,0.992366412,1.450381679,0.534351145
BCW_201884,Round_1,0.48,0.477,0.46,24.04580153,23.81679389,22.51908397
BCW_201303,Round_1,0.683,0.676,0.672,39.54198473,39.00763359,38.70229008
BCW_201152,Round_1,0.181,0.19,0.197,1.221374046,1.908396947,2.442748092
BCW_201085,Round_1,0.347,0.341,0.337,13.89312977,13.4351145,13.12977099
BCW_201933,Round_1,0.372,0.361,0.328,15.80152672,14.96183206,12.44274809
BCW_200444,Round_1,0.509,0.464,1.003,26.25954198,22.82442748,63.96946565
BCW_201815,Round_1,0.31,0.309,0.293,11.06870229,10.99236641,9.770992366
BCW_200270,Round_1,0.296,0.283,0.286,10,9.007633588,9.236641221
BCW_201882,Round_1,0.285,0.281,0.265,9.160305344,8.854961832,7.633587786
BCW_201883,Round_1,0.378,0.362,0.345,16.25954198,15.03816794,13.74045802
BCW_201083,Round_1,0.258,0.24,0.236,7.099236641,5.72519084,5.419847328
BCW_201885,Round_1,0.366,0.359,0.361,15.34351145,14.80916031,14.96183206
BCW_201936,Round_1,0.323,0.316,0.315,12.0610687,11.52671756,11.45038168
BCW_201917,Round_1,0.282,0.265,0.281,8.93129771,7.633587786,8.854961832
BCW_200902,Round_1,0.328,0.304,0.317,12.44274809,10.61068702,11.60305344
BCW_201153,Round_1,0.26,0.25,0.249,7.251908397,6.488549618,6.41221374
BCW_201862,Round_1,0.253,0.253,0.249,6.717557252,6.717557252,6.41221374
BCW_201867,Round_1,0.325,0.316,0.32,12.21374046,11.52671756,11.83206107
BCW_201849,Round_1,0.25,0.242,0.236,6.488549618,5.877862595,5.419847328
BCW_201887,Round_1,0.476,0.445,0.427,23.74045802,21.3740458,20
BCW_201840,Round_1,0.49,0.447,0.442,24.80916031,21.52671756,21.14503817
BCW_201895,Round_1,0.427,0.4,0.397,20,17.9389313,17.70992366
BCW_201899,Round_1,0.452,0.448,0.452,21.90839695,21.60305344,21.90839695
BCW_200496,Round_1,0.206,0.205,0.206,3.129770992,3.053435115,3.129770992
