BCW_ID,Round,OD535_1,OD535_2,OD535_3,mg_L_1,mg_L_2,mg_L_3
BCW_200488,Round_1,0.46,0.472,0.466,6.257668712,6.625766871,6.441717791
BCW_200726,Round_1,0.519,0.514,0.441,8.067484663,7.914110429,5.674846626
BCW_201889,Round_1,0.366,0.36,0.334,3.374233129,3.190184049,2.392638037
BCW_201173,Round_1,0.584,0.578,0.565,10.06134969,9.877300613,9.478527607
BCW_201245,Round_1,0.604,0.599,0.591,10.67484663,10.52147239,10.27607362
BCW_200810,Round_1,0.604,0.588,0.581,10.67484663,10.18404908,9.969325153
BCW_200328,Round_1,0.48,0.508,0.486,6.871165644,7.73006135,7.055214724
BCW_201866,Round_1,0.531,0.531,0.533,8.435582822,8.435582822,8.496932515
BCW_201859,Round_1,0.338,0.318,0.33,2.611111111,2.384353741,2.520408163
BCW_201025,Round_1,0.604,0.597,0.638,10.67484663,10.4601227,11.71779141
BCW_201162,Round_1,0.511,0.529,0.507,7.82208589,8.374233129,7.699386503
BCW_200661,Round_1,0.479,0.464,0.354,6.840490798,6.380368098,3.006134969
BCW_201824,Round_1,0.508,0.501,0.511,7.73006135,7.515337423,7.82208589
BCW_200596,Round_1,0.652,0.59,0.643,12.14723926,10.24539877,11.87116564
BCW_200566,Round_1,0.652,0.646,0.641,12.14723926,11.96319018,11.80981595
BCW_200621,Round_1,0.641,0.654,0.609,11.80981595,12.20858896,10.82822086
BCW_201813,Round_1,0.484,0.501,0.488,6.993865031,7.515337423,7.116564417
BCW_201874,Round_1,0.481,0.559,0.494,6.901840491,9.294478528,7.300613497
BCW_201858,Round_1,0.532,0.584,0.543,8.466257669,10.06134969,8.803680982
BCW_201876,Round_1,0.419,0.422,0.435,5,5.09202454,5.490797546
BCW_200727,Round_1,0.552,0.489,0.503,9.079754601,7.147239264,7.576687117
BCW_201894,Round_1,0.422,0.421,0.409,5.09202454,5.061349693,4.693251534
BCW_200926,Round_1,0.498,0.505,0.529,7.423312883,7.63803681,8.374233129
BCW_201878,Round_1,0.569,0.565,0.525,9.601226994,9.478527607,8.251533742
BCW_201880,Round_1,0.507,0.537,0.529,7.699386503,8.619631902,8.374233129
BCW_201880,Round_1,0.543,0.563,0.551,8.803680982,9.417177914,9.049079755
BCW_201851,Round_1,0.49,0.495,0.484,7.17791411,7.331288344,6.993865031
BCW_200808,Round_1,0.651,0.665,0.648,12.11656442,12.54601227,12.02453988
BCW_201888,Round_1,0.408,0.419,0.411,4.662576687,5,4.754601227
