BCW_ID,Round,OD630_1,OD630_2,OD630_3,AR_AS_1,AR_AS_2,AR_AS_3
BCW_200488,Round_1,0.265,0.266,0.268,0.530391636,0.528619529,0.525075315
BCW_200726,Round_1,0.267,0.262,0.25,0.526847422,0.535707957,0.556973241
BCW_201889,Round_1,0.314,0.297,0.285,0.443558391,0.473684211,0.494949495
BCW_201173,Round_1,0.365,0.359,0.378,0.353180932,0.363813574,0.330143541
BCW_201245,Round_1,0.417,0.408,0.423,0.261031366,0.27698033,0.250398724
BCW_200810,Round_1,0.296,0.281,0.279,0.475456318,0.502037923,0.505582137
BCW_200328,Round_1,0.457,0.453,0.444,0.190147085,0.197235513,0.213184476
BCW_201866,Round_1,0.289,0.283,0.274,0.487861067,0.498493709,0.514442672
BCW_201859,Round_1,0.148,0.14,0.141,0.737728159,0.751905015,0.750132908
BCW_201025,Round_1,0.334,0.315,0.307,0.40811625,0.441786284,0.45596314
BCW_201162,Round_1,0.277,0.278,0.278,0.509126351,0.507354244,0.507354244
BCW_200661,Round_1,0.255,0.259,0.266,0.548112706,0.541024278,0.528619529
BCW_201824,Round_1,0.316,0.308,0.305,0.440014177,0.454191033,0.459507354
BCW_200596,Round_1,0.295,0.284,0.293,0.477228425,0.496721602,0.480772639
BCW_200566,Round_1,0.332,0.315,0.322,0.411660464,0.441786284,0.429381535
BCW_200621,Round_1,0.386,0.378,0.383,0.315966684,0.330143541,0.321283005
BCW_201813,Round_1,0.241,0.233,0.226,0.572922205,0.587099061,0.59950381
BCW_201874,Round_1,0.324,0.317,0.31,0.425837321,0.43824207,0.450646819
BCW_201858,Round_1,0.379,0.346,0.333,0.328371434,0.386850966,0.409888357
BCW_201876,Round_1,0.361,0.353,0.345,0.36026936,0.374446217,0.388623073
BCW_200727,Round_1,0.381,0.351,0.325,0.32482722,0.377990431,0.424065214
BCW_201894,Round_1,0.279,0.267,0.266,0.505582137,0.526847422,0.528619529
BCW_200926,Round_1,0.301,0.287,0.281,0.466595782,0.491405281,0.502037923
BCW_201878,Round_1,0.328,0.316,0.311,0.418748892,0.440014177,0.448874712
BCW_201880,Round_1,0.343,0.408,0.316,0.392167287,0.27698033,0.440014177
BCW_201880,Round_1,0.371,0.471,0.34,0.34254829,0.165337586,0.397483608
BCW_201851,Round_1,0.394,0.479,0.346,0.301789828,0.15116073,0.386850966
BCW_200808,Round_1,0.509,0.578,0.37,0.097997519,-0.024277866,0.344320397
BCW_201888,Round_1,0.411,0.379,0.355,0.271664009,0.328371434,0.370902002
BCW_201187,Round_1,0.388,0.361,0.343,0.31242247,0.36026936,0.392167287
BCW_201873,Round_1,0.425,0.423,0.351,0.24685451,0.250398724,0.377990431
BCW_200662,Round_1,0.472,0.452,0.376,0.163565479,0.19900762,0.333687755
BCW_201236,Round_1,0.471,0.473,0.452,0.165337586,0.161793372,0.19900762
BCW_201836,Round_1,0.432,0.444,0.427,0.234449761,0.213184476,0.243310296
BCW_200939,Round_1,0.273,0.305,0.277,0.516214779,0.459507354,0.509126351
BCW_200533,Round_1,0.446,0.453,0.437,0.209640262,0.197235513,0.225589226
BCW_201045,Round_1,0.377,0.373,0.364,0.331915648,0.339004076,0.354953039
BCW_200279,Round_1,0.286,0.286,0.276,0.493177388,0.493177388,0.510898458
BCW_201809,Round_1,0.278,0.262,0.261,0.507354244,0.535707957,0.537480064
BCW_200443,Round_1,0.416,0.386,0.368,0.262803473,0.315966684,0.347864611
BCW_201860,Round_1,0.391,0.405,0.385,0.307106149,0.282296651,0.317738791
BCW_201879,Round_1,0.377,0.394,0.373,0.331915648,0.301789828,0.339004076
BCW_201910,Round_1,0.297,0.3,0.279,0.473684211,0.468367889,0.505582137
BCW_201818,Round_1,0.281,0.291,0.273,0.502037923,0.484316853,0.516214779
BCW_200556,Round_1,0.367,0.365,0.357,0.349636718,0.353180932,0.367357788
BCW_201825,Round_1,0.347,0.353,0.34,0.385078859,0.374446217,0.397483608
BCW_201834,Round_1,0.349,0.352,0.352,0.381534645,0.376218324,0.376218324
BCW_201831,Round_1,0.549,0.56,0.551,0.027113238,0.00762006,0.023569024
BCW_201835,Round_1,0.69,0.651,0.643,-0.222753854,-0.15364168,-0.139464824
BCW_201870,Round_1,0.366,0.356,0.349,0.351408825,0.369129895,0.381534645
BCW_200725,Round_1,0.434,0.381,0.368,0.230905547,0.32482722,0.347864611
BCW_201868,Round_1,0.389,0.373,0.354,0.310650363,0.339004076,0.37267411
BCW_201856,Round_1,0.4,0.365,0.362,0.291157186,0.353180932,0.358497253
BCW_201884,Round_1,0.337,0.313,0.308,0.402799929,0.445330498,0.454191033
BCW_201303,Round_1,0.453,0.415,0.406,0.197235513,0.26457558,0.280524544
